studyn,trtn,trtc,r,n
1,1.0,Control,3.0,39.0
1,2.0,Beta Blocker,3.0,38.0
2,1.0,Control,14.0,116.0
2,2.0,Beta Blocker,7.0,114.0
3,1.0,Control,11.0,93.0
3,2.0,Beta Blocker,5.0,69.0
4,1.0,Control,127.0,1520.0
4,2.0,Beta Blocker,102.0,1533.0
5,1.0,Control,27.0,365.0
5,2.0,Beta Blocker,28.0,355.0
6,1.0,Control,6.0,52.0
6,2.0,Beta Blocker,4.0,59.0
7,1.0,Control,152.0,939.0
7,2.0,Beta Blocker,98.0,945.0
8,1.0,Control,48.0,471.0
8,2.0,Beta Blocker,60.0,632.0
9,1.0,Control,37.0,282.0
9,2.0,Beta Blocker,25.0,278.0
10,1.0,Control,188.0,1921.0
10,2.0,Beta Blocker,138.0,1916.0
11,1.0,Control,52.0,583.0
11,2.0,Beta Blocker,64.0,873.0
12,1.0,Control,47.0,266.0
12,2.0,Beta Blocker,45.0,263.0
13,1.0,Control,16.0,293.0
13,2.0,Beta Blocker,9.0,291.0
14,1.0,Control,45.0,883.0
14,2.0,Beta Blocker,57.0,858.0
15,1.0,Control,31.0,147.0
15,2.0,Beta Blocker,25.0,154.0
16,1.0,Control,38.0,213.0
16,2.0,Beta Blocker,33.0,207.0
17,1.0,Control,12.0,122.0
17,2.0,Beta Blocker,28.0,251.0
18,1.0,Control,6.0,154.0
18,2.0,Beta Blocker,8.0,151.0
19,1.0,Control,3.0,134.0
19,2.0,Beta Blocker,6.0,174.0
20,1.0,Control,40.0,218.0
20,2.0,Beta Blocker,32.0,209.0
21,1.0,Control,43.0,364.0
21,2.0,Beta Blocker,27.0,391.0
22,1.0,Control,39.0,674.0
22,2.0,Beta Blocker,22.0,680.0
