study_id,observed_control_deaths,predicted_control_deaths_mean,predicted_control_deaths_lower_95,predicted_control_deaths_upper_95,observed_beta_blocker_deaths,predicted_beta_blocker_deaths_mean,predicted_beta_blocker_deaths_lower_95,predicted_beta_blocker_deaths_upper_95,control_observed_within_predictive_interval,beta_blocker_observed_within_predictive_interval
1,3,3.569625,0.0,8.0,3,2.758625,0.0,7.0,True,True
2,14,11.806625,5.0,20.0,7,9.185,3.0,16.0,True,True
3,11,10.0335,4.0,18.0,5,5.894625,1.0,12.0,True,True
4,127,127.903875,102.0,156.0,102,101.599,79.0,126.0,True,True
5,27,31.354875,19.0,46.0,28,24.072625,14.0,36.0,True,True
6,6,5.254375,1.0,11.0,4,4.728375,1.0,10.0,True,True
7,152,138.132375,112.0,166.0,98,111.23275,88.0,136.0,True,True
8,48,52.218875,37.0,69.0,60,55.54625,39.0,74.0,True,True
9,37,34.70475,22.0,49.0,25,26.980625,16.0,39.0,True,True
10,188,182.611625,151.0,216.0,138,143.408375,116.0,172.0,True,True
11,52,53.23725,38.0,71.0,64,62.875625,45.0,83.0,True,True
12,47,50.375375,35.0,67.0,45,40.1595,27.0,55.0,True,True
13,16,14.756875,7.0,25.0,9,11.510375,5.0,20.0,True,True
14,45,58.509625,41.0,78.0,57,44.40025,30.0,61.0,True,True
15,31,29.554125,18.0,42.0,25,24.968125,15.0,36.0,True,True
16,38,39.139,26.0,54.0,33,30.667375,19.0,44.0,True,True
17,12,15.116375,8.0,24.0,28,24.565125,14.0,37.0,True,True
18,6,8.50625,3.0,16.0,8,6.573875,2.0,13.0,True,True
19,3,5.298875,1.0,11.0,6,5.396125,1.0,11.0,True,True
20,40,39.919125,26.0,54.024999999999636,32,30.867125,19.0,44.0,True,True
21,43,37.678125,24.975000000000023,52.0,27,32.127375,20.0,46.0,True,True
22,39,34.851375,22.0,50.0,22,27.403,16.0,40.0,True,True
