parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_study[1],-2.365044,0.376524,-3.09391,-1.605697,0.002831,0.004028,18350.802157,8379.810579,1.000369
alpha_study[2],-2.18741,0.226039,-2.628929,-1.744365,0.001745,0.002163,16894.152635,9602.645225,1.000243
alpha_study[3],-2.137607,0.255026,-2.643499,-1.647846,0.001868,0.002418,18828.10596,9610.309948,1.000799
alpha_study[4],-2.394661,0.080422,-2.558794,-2.244895,0.000653,0.000687,15254.491247,10134.458988,1.000133
alpha_study[5],-2.403955,0.152722,-2.700624,-2.105118,0.001213,0.001523,16027.153748,8652.783133,0.999916
alpha_study[6],-2.214593,0.318262,-2.855241,-1.626542,0.002156,0.00337,22215.79877,8332.73153,0.999921
alpha_study[7],-1.717733,0.084315,-1.879549,-1.550391,0.000834,0.000708,10210.031618,9359.00415,1.000367
alpha_study[8],-2.117651,0.119515,-2.356539,-1.887919,0.001102,0.001115,11927.335601,8239.62891,0.999902
alpha_study[9],-1.968515,0.142382,-2.242308,-1.686595,0.001159,0.001367,15221.157492,9003.102133,1.000806
alpha_study[10],-2.242269,0.068967,-2.378586,-2.109295,0.000552,0.000634,15620.4131,9062.860019,0.999996
alpha_study[11],-2.312813,0.115164,-2.542361,-2.090485,0.000991,0.001166,13667.895609,8963.571386,1.000446
alpha_study[12],-1.487825,0.12923,-1.747289,-1.240218,0.001121,0.001164,13466.257237,8423.940058,1.000136
alpha_study[13],-2.937719,0.203731,-3.353085,-2.557778,0.001511,0.001904,18510.513503,9235.406145,1.00045
alpha_study[14],-2.723176,0.12707,-2.979722,-2.487368,0.001385,0.001135,8625.739783,8378.901276,1.000161
alpha_study[15],-1.392703,0.159953,-1.710857,-1.082347,0.001132,0.001629,20042.745008,9018.678999,0.999963
alpha_study[16],-1.516167,0.143015,-1.810353,-1.251925,0.001176,0.001347,14910.556864,8851.784328,1.000161
alpha_study[17],-2.012181,0.185984,-2.368534,-1.652421,0.001698,0.001679,12184.691515,8315.503482,1.000136
alpha_study[18],-2.869578,0.257004,-3.357231,-2.359601,0.001947,0.002439,17771.516507,8732.673443,1.000378
alpha_study[19],-3.221573,0.297777,-3.804854,-2.654055,0.002318,0.002877,16867.832889,9470.593142,1.000202
alpha_study[20],-1.510459,0.140989,-1.793647,-1.240439,0.001138,0.001305,15500.709556,9108.207195,1.000125
alpha_study[21],-2.136859,0.135098,-2.39433,-1.866689,0.001142,0.001218,14015.247329,9428.680958,0.999893
alpha_study[22],-2.890564,0.141929,-3.163093,-2.611111,0.001145,0.001289,15389.584146,8972.20781,1.000208
mu,-0.247782,0.06205,-0.369683,-0.122471,0.000763,0.000623,6682.273329,7280.092239,1.000309
tau,0.12553,0.076882,3.9e-05,0.264429,0.001448,0.000718,2646.762885,4027.651643,1.002004
z_study[1],0.026265,0.989073,-1.865089,1.994425,0.007166,0.010094,19052.063319,8442.167009,1.000059
z_study[2],-0.250095,0.965733,-2.115754,1.693989,0.00761,0.009227,16069.398641,8738.459932,1.000509
z_study[3],-0.110555,0.957086,-1.974864,1.752231,0.00726,0.00847,17396.552298,9204.201667,1.000351
z_study[4],-0.012158,0.79421,-1.638028,1.541023,0.006882,0.008543,13327.316311,9431.553662,1.000407
z_study[5],0.359711,0.925529,-1.511894,2.123496,0.007421,0.008505,15578.792083,9200.269977,1.000074
z_study[6],-0.091177,0.990206,-1.998327,1.868314,0.006907,0.009748,20585.692627,8992.665752,1.000918
z_study[7],-0.765382,0.837108,-2.367198,0.947882,0.009151,0.008385,8696.730544,7313.751077,1.000434
z_study[8],0.32688,0.859207,-1.318972,2.070578,0.00783,0.007634,12078.47799,9324.44763,1.00039
z_study[9],-0.207917,0.906012,-2.005591,1.572908,0.007183,0.008637,15898.956896,8676.79777,1.000753
z_study[10],-0.313053,0.770048,-1.809768,1.264431,0.00793,0.008037,9514.064783,8104.532282,1.000019
z_study[11],0.061024,0.848146,-1.617349,1.707754,0.007342,0.007699,13327.740606,9360.238724,1.000365
z_study[12],0.361716,0.882625,-1.458675,2.008997,0.007296,0.008569,14707.540084,9222.424328,0.999909
z_study[13],-0.26493,0.955204,-2.100101,1.601735,0.007537,0.008612,16053.018603,9685.646269,1.000384
z_study[14],0.930807,0.940568,-0.964242,2.709055,0.009794,0.00891,9519.216998,7897.407223,1.000478
z_study[15],-0.028123,0.900036,-1.792024,1.736181,0.007194,0.009086,15691.121117,9130.514502,0.999953
z_study[16],0.196827,0.910456,-1.545091,2.024171,0.007102,0.009381,16449.151569,8462.59793,1.000573
z_study[17],0.320151,0.925782,-1.424297,2.183264,0.007795,0.008452,14076.984176,10256.729569,1.001481
z_study[18],0.133352,0.966088,-1.773373,2.025622,0.007006,0.009642,19009.968039,8739.328077,1.000844
z_study[19],0.045339,0.972909,-1.873277,1.94839,0.007716,0.009824,15832.526353,8290.229978,1.000909
z_study[20],0.079075,0.903777,-1.739016,1.851948,0.007566,0.008922,14312.921594,8856.363466,1.000458
z_study[21],-0.462201,0.908404,-2.251615,1.33005,0.008643,0.008189,11156.107214,8498.871259,1.000666
z_study[22],-0.500118,0.914906,-2.264614,1.328262,0.008679,0.008143,11239.283442,7534.089267,1.000413
