study_id,log_odds_ratio,se_log_odds_ratio,odds_ratio,or_ci_lower_95,or_ci_upper_95,fixed_effect_weight_pct,random_effect_weight_pct
1,0.0281708769666964,0.8503034005670406,1.0285714285714287,0.1942860370261542,5.44536910560922,0.35009794002723754,0.4096366340406703
2,-0.7410032017375806,0.4831515603274661,0.4766355140186915,0.1848925820735255,1.228721080511061,1.084352822886239,1.2499237029991481
3,-0.5406211964596889,0.5645610798313239,0.5823863636363636,0.1925959297673157,1.7610646131481535,0.7941737297258337,0.9208399965232329
4,-0.2461280789509654,0.1381833000979498,0.7818220835603097,0.5963262590721146,1.0250190412437716,13.256420346540805,12.26244523430563
5,0.06945336875664,0.280656385297956,1.0719220749801788,0.6183917353133513,1.8580729159447489,3.2135682829694607,3.551351305305479
6,-0.5841568968515403,0.6757126721345896,0.5575757575757576,0.1482947051324378,2.096438474715144,0.5543872835727531,0.6459594530728242
7,-0.5123854884103555,0.1386878313906579,0.5990648107872989,0.4564785180770156,0.7861895649229069,13.160144945729142,12.192436104558544
8,-0.0786232610193101,0.2039909751486697,0.924388111888112,0.6197459937978128,1.3787800001154022,6.082967262290559,6.368123845740737
9,-0.424173365958817,0.2739730440208465,0.6543104369191325,0.3824487841836629,1.119423477251034,3.3722651710848948,3.7152989870012623
10,-0.3348234040309882,0.1170683112078628,0.7154644233300625,0.568771052510815,0.8999919014712614,18.46965062993234,15.752241963393548
11,-0.2133975310383084,0.1948720152953822,0.8078349339165161,0.5513713827381093,1.1835893208949384,6.665587506475515,6.904184939912346
12,-0.0389084449123269,0.2294606370946179,0.9618387663478432,0.6134532047491817,1.508075604279863,4.807518865045888,5.153597075156992
13,-0.5932537096543371,0.4251674008024843,0.5525265957446808,0.2401283239932301,1.271343729587738,1.400288335098561,1.6038536532012677
14,0.2815459314779541,0.2054454641613341,1.3251768622555138,0.8859212824846061,1.982223196323183,5.99714117755058,6.288185508660865
15,-0.3213335928722529,0.2977090730155827,0.725181295323831,0.4046052510403756,1.2997555264923415,2.8559674035366798,3.178195073317716
16,-0.1353479235509205,0.2609218885562915,0.8734119782214156,0.5237426584510563,1.4565330346715202,3.718059715459893,4.069074869697327
17,0.1406064547195012,0.3641741795779371,1.1509715994020928,0.5637327782146926,2.349935419447436,1.9086183117038145,2.1639797511933048
18,0.3220497159559886,0.552644940641304,1.37995337995338,0.4671362221007996,4.076479709239609,0.8287909311385709,0.9603022879716577
19,0.4443805243578379,0.7166491252618958,1.5595238095238095,0.3827965005532763,6.353544269491465,0.49286075390947015,0.5749932395585913
20,-0.2175097335959536,0.2598416730284313,0.8045197740112995,0.4834538527835418,1.338808374467518,3.7490374573893446,4.100538505500266
21,-0.591075994195958,0.2572068594250277,0.5537311525683619,0.3344722245223929,0.9167224266903466,3.826240762529186,4.17879024494552
22,-0.6080991252039563,0.2723786538700916,0.5443846933208635,0.319192379707155,0.9284516585074588,3.411860365403209,3.7560476239430587
